iata,airport_name,country
ACE,Lanzarote Airport,Spain
ADD,Addis Ababa Bole International Airport,Ethiopia
AGA,Agadir Al Massira Airport,Morocco
AGH,Angelholm Helsingborg Airport,Sweden
AGP,Malaga Airport,Spain
AJR,Arvidsjaur Airport,Sweden
ALC,Alicante-Elche Airport,Spain
AMM,Queen Alia International Airport,Jordan
AMS,Amsterdam Airport Schiphol,Netherlands
ARN,Stockholm Arlanda Airport,Sweden
ATH,Eleftherios Venizelos International Airport,Greece
AYT,Antalya Airport,Turkey
BCN,Barcelona-El Prat Airport,Spain
BEG,Belgrad Nikola Tesla Airport,Serbia
BER,Berlin Brandenburg Airport,Germany
BEY,Beirut-Rafic Hariri International Airport,Lebanon
BGO,Bergen Airport,Norway
BGY,Orio al Serio International Airport,Italy
BHX,Birmingham International Airport,United Kingdom
BKK,Suvarnabhumi Airport,Thailand
BLL,Billund Airport,Denmark
BLQ,Guglielmo Marconi Airport,Italy
BMA,Bromma Stockholm Airport,Sweden
BNX,Banja Luka Airport,Bosnia and Herzegovina
BRU,Brussels Airport,Belgium
BUD,Budapest Ferenc Liszt International Airport,Hungary
BVA,Beauvais-Tille Airport,France
BVC,Rabil Airport,Cape Verde
BZO,Bolzano,Italy
CAI,Cairo International Airport,Egypt
CBG,Cambridge Airport,United Kingdom
CDG,Charles de Gaulle Airport,France
CGN,Cologne Bonn Airport,Germany
CLJ,Avram Iancu Cluj International Airport,Romania
CPH,Copenhagen Airport,Denmark
CRL,Charleroi Brussels South Airport,Belgium
CUN,Cancun International Airport,Mexico
DAM,Damascus International Airport,Syria
DOH,Hamad International Airport,Qatar
DTM,Dortmund Airport,Germany
DUB,Dublin Airport,Ireland
DUS,Dusseldorf International Airport,Germany
DWC,Dubai World Central - Al Maktoum International Airport,United Arab Emirates
DXB,Dubai Airport,United Arab Emirates
EDI,Edinburgh Airport,United Kingdom
ESB,Esenboga International Airport,Turkey
ESHK,Halmstad Airport,Sweden
EVG,Sveg Airport,Sweden
EWR,Newark Liberty International Airport,United States
FAO,Faro Airport,Portugal
FCO,Leonardo da Vinci-Fiumicino Airport,Italy
FKB,Baden-Airpark,Germany
FNC,Madeira Airport,Portugal
